,UUID,VIN,MAKE,MODEL,MILEAGE,YEAR,PRICE,ZIPCODE,CREATEDATE,UPDATEDATE
,0000000190,21900000001,Toyota,Corolla,1700,1981,200.90,,,
,0000000191,21900000002,Toyota,Corolla,1701,1982,200.91,,,
,0000000192,21900000003,Toyota,Corolla,1702,1983,200.92,,,
,0000000193,21900000004,Toyota,Corolla,1703,1984,200.93,,,
,0000000194,21900000005,Toyota,Corolla,1704,1985,200.94,,,
,0000000195,21900000006,Toyota,Corolla,1705,1986,200.95,,,
,0000000196,21900000007,Toyota,Corolla,1706,1987,200.96,,,
,0000000197,21900000008,Toyota,Corolla,1707,1988,200.97,,,
,0000000198,21900000009,Toyota,Corolla,1708,1989,200.98,,,
,0000000199,21900000010,Toyota,Corolla,1709,1990,200.99,,,
,0000000200,21900000011,Toyota,Corolla,1710,1991,201.00,,,
,0000000201,21900000012,Toyota,Corolla,1711,1992,201.01,,,
,0000000202,21900000013,Toyota,Corolla,1712,1993,201.02,,,
,0000000203,21900000014,Toyota,Corolla,1713,1994,201.03,,,
,0000000204,21900000015,Toyota,Corolla,1714,1995,201.04,,,
,0000000205,21900000016,Toyota,Corolla,1715,1996,201.05,,,
,0000000206,21900000017,Toyota,Corolla,1716,1997,201.06,,,
,0000000207,21900000018,Toyota,Corolla,1717,1998,201.07,,,
,0000000208,21900000019,Toyota,Corolla,1718,1999,201.08,,,
,0000000209,21900000020,Toyota,Corolla,1719,2000,201.09,,,
,0000000210,21900000021,Toyota,Corolla,1720,2001,201.10,,,
,0000000211,21900000022,Toyota,Corolla,1721,2002,201.11,,,
,0000000212,21900000023,Toyota,Corolla,1722,2003,201.12,,,
,0000000213,21900000024,Toyota,Corolla,1723,2004,201.13,,,
,0000000214,21900000025,Toyota,Corolla,1724,2005,201.14,,,
,0000000215,21900000026,Toyota,Corolla,1725,2006,201.15,,,
,0000000216,21900000027,Toyota,Corolla,1726,2007,201.16,,,
,0000000217,21900000028,Toyota,Corolla,1727,2008,201.17,,,
,0000000218,21900000029,Toyota,Corolla,1728,2009,201.18,,,
,0000000219,21900000030,Toyota,Corolla,1729,2010,201.19,,,
,0000000220,21900000031,Toyota,Corolla,1730,2011,201.20,,,
,0000000221,21900000032,Toyota,Corolla,1731,2012,201.21,,,
,0000000222,21900000033,Toyota,Corolla,1732,2013,201.22,,,
,0000000223,21900000034,Toyota,Corolla,1733,2014,201.23,,,
,0000000224,21900000035,Toyota,Corolla,1734,2015,201.24,,,
,0000000225,21900000036,Toyota,Corolla,1735,2016,201.25,,,
,0000000226,21900000037,Toyota,Corolla,1736,2017,201.26,,,
,0000000227,21900000038,Toyota,Corolla,1737,2018,201.27,,,
,0000000228,21900000039,Toyota,Corolla,1738,2019,201.28,,,
,0000000229,21900000040,Toyota,Corolla,1739,2020,201.29,,,
,0000000230,21900000041,Toyota,Corolla,1740,2021,201.30,,,
,0000000231,21900000042,Toyota,Corolla,1741,2022,201.31,,,
,0000000232,21900000043,Toyota,Corolla,1742,2023,201.32,,,
,0000000233,21900000044,Toyota,Corolla,1743,2024,201.33,,,
,0000000234,21900000045,Toyota,Corolla,1744,2025,201.34,,,
,0000000235,21900000046,Toyota,Corolla,1745,2026,201.35,,,
,0000000236,21900000047,Toyota,Corolla,1746,2027,201.36,,,
,0000000237,21900000048,Toyota,Corolla,1747,2028,201.37,,,
,0000000238,21900000049,Toyota,Corolla,1748,2029,201.38,,,
,0000000239,21900000050,Toyota,Corolla,1749,2030,201.39,,,
,0000000240,21900000051,Toyota,Corolla,1750,2031,201.40,,,
,0000000241,21900000052,Toyota,Corolla,1751,2032,201.41,,,
,0000000242,21900000053,Toyota,Corolla,1752,2033,201.42,,,
,0000000243,21900000054,Toyota,Corolla,1753,2034,201.43,,,
,0000000244,21900000055,Toyota,Corolla,1754,2035,201.44,,,
,0000000245,21900000056,Toyota,Corolla,1755,2036,201.45,,,
,0000000246,21900000057,Toyota,Corolla,1756,2037,201.46,,,
,0000000247,21900000058,Toyota,Corolla,1757,2038,201.47,,,
,0000000248,21900000059,Toyota,Corolla,1758,2039,201.48,,,
,0000000249,21900000060,Toyota,Corolla,1759,2040,201.49,,,
,0000000250,21900000061,Toyota,Corolla,1760,2041,201.50,,,
,0000000251,21900000062,Toyota,Corolla,1761,2042,201.51,,,
,0000000252,21900000063,Toyota,Corolla,1762,2043,201.52,,,
,0000000253,21900000064,Toyota,Corolla,1763,2044,201.53,,,
,0000000254,21900000065,Toyota,Corolla,1764,2045,201.54,,,
,0000000255,21900000066,Toyota,Corolla,1765,2046,201.55,,,
,0000000256,21900000067,Toyota,Corolla,1766,2047,201.56,,,
,0000000257,21900000068,Toyota,Corolla,1767,2048,201.57,,,
,0000000258,21900000069,Toyota,Corolla,1768,2049,201.58,,,
,0000000259,21900000070,Toyota,Corolla,1769,2050,201.59,,,
,0000000260,21900000071,Toyota,Corolla,1770,2051,201.60,,,
,0000000261,21900000072,Toyota,Corolla,1771,2052,201.61,,,
,0000000262,21900000073,Toyota,Corolla,1772,2053,201.62,,,
,0000000263,21900000074,Toyota,Corolla,1773,2054,201.63,,,
,0000000264,21900000075,Toyota,Corolla,1774,2055,201.64,,,
,0000000265,21900000076,Toyota,Corolla,1775,2056,201.65,,,
,0000000266,21900000077,Toyota,Corolla,1776,2057,201.66,,,
,0000000267,21900000078,Toyota,Corolla,1777,2058,201.67,,,
,0000000268,21900000079,Toyota,Corolla,1778,2059,201.68,,,
,0000000269,21900000080,Toyota,Corolla,1779,2060,201.69,,,
,0000000270,21900000081,Toyota,Corolla,1780,2061,201.70,,,
,0000000271,21900000082,Toyota,Corolla,1781,2062,201.71,,,
,0000000272,21900000083,Toyota,Corolla,1782,2063,201.72,,,
,0000000273,21900000084,Toyota,Corolla,1783,2064,201.73,,,
,0000000274,21900000085,Toyota,Corolla,1784,2065,201.74,,,
,0000000275,21900000086,Toyota,Corolla,1785,2066,201.75,,,
,0000000276,21900000087,Toyota,Corolla,1786,2067,201.76,,,
,0000000277,21900000088,Toyota,Corolla,1787,2068,201.77,,,
,0000000278,21900000089,Toyota,Corolla,1788,2069,201.78,,,
,0000000279,21900000090,Toyota,Corolla,1789,2070,201.79,,,
,0000000280,21900000091,Toyota,Corolla,1790,2071,201.80,,,
,0000000281,21900000092,Toyota,Corolla,1791,2072,201.81,,,
,0000000282,21900000093,Toyota,Corolla,1792,2073,201.82,,,
,0000000283,21900000094,Toyota,Corolla,1793,2074,201.83,,,
,0000000284,21900000095,Toyota,Corolla,1794,2075,201.84,,,
,0000000285,21900000096,Toyota,Corolla,1795,2076,201.85,,,
,0000000286,21900000097,Toyota,Corolla,1796,2077,201.86,,,
,0000000287,21900000098,Toyota,Corolla,1797,2078,201.87,,,
,0000000288,21900000099,Toyota,Corolla,1798,2079,201.88,,,
,0000000289,21900000100,Toyota,Corolla,1799,2080,201.89,,,
,0000000290,21900000101,Toyota,Corolla,1800,2081,201.90,,,
,0000000291,21900000102,Toyota,Corolla,1801,2082,201.91,,,
,0000000292,21900000103,Toyota,Corolla,1802,2083,201.92,,,
,0000000293,21900000104,Toyota,Corolla,1803,2084,201.93,,,
,0000000294,21900000105,Toyota,Corolla,1804,2085,201.94,,,
,0000000295,21900000106,Toyota,Corolla,1805,2086,201.95,,,
,0000000296,21900000107,Toyota,Corolla,1806,2087,201.96,,,
,0000000297,21900000108,Toyota,Corolla,1807,2088,201.97,,,
,0000000298,21900000109,Toyota,Corolla,1808,2089,201.98,,,
,0000000299,21900000110,Toyota,Corolla,1809,2090,201.99,,,
,0000000300,21900000111,Toyota,Corolla,1810,2091,202.00,,,
,0000000301,21900000112,Toyota,Corolla,1811,2092,202.01,,,
,0000000302,21900000113,Toyota,Corolla,1812,2093,202.02,,,
,0000000303,21900000114,Toyota,Corolla,1813,2094,202.03,,,
,0000000304,21900000115,Toyota,Corolla,1814,2095,202.04,,,
,0000000305,21900000116,Toyota,Corolla,1815,2096,202.05,,,
,0000000306,21900000117,Toyota,Corolla,1816,2097,202.06,,,
,0000000307,21900000118,Toyota,Corolla,1817,2098,202.07,,,
,0000000308,21900000119,Toyota,Corolla,1818,2099,202.08,,,
,0000000309,21900000120,Toyota,Corolla,1819,2100,202.09,,,
